complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
TRN_HI_00001,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.66,Tamil Nadu,Salem
TRN_HI_00002,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Neutral,0.56,Tamil Nadu,Karur
TRN_HI_00003,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.33,Tamil Nadu,Trichy
TRN_HI_00004,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.61,Tamil Nadu,Trichy
TRN_HI_00005,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.91,Tamil Nadu,Coimbatore
TRN_HI_00006,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Negative,0.8,Tamil Nadu,Karur
TRN_HI_00007,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Negative,0.66,Tamil Nadu,Karur
TRN_HI_00008,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Negative,0.89,Tamil Nadu,Karur
TRN_HI_00009,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Neutral,0.32,Tamil Nadu,Coimbatore
TRN_HI_00010,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.77,Tamil Nadu,Coimbatore
TRN_HI_00011,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.43,Tamil Nadu,Salem
TRN_HI_00012,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.52,Tamil Nadu,Salem
TRN_HI_00013,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Negative,0.88,Tamil Nadu,Erode
TRN_HI_00014,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Negative,0.73,Tamil Nadu,Coimbatore
TRN_HI_00015,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Negative,0.93,Tamil Nadu,Salem
TRN_HI_00016,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.99,Tamil Nadu,Coimbatore
TRN_HI_00017,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Neutral,0.45,Tamil Nadu,Coimbatore
TRN_HI_00018,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.78,Tamil Nadu,Karur
TRN_HI_00019,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.55,Tamil Nadu,Erode
TRN_HI_00020,Transport Services,Hindi,बस चालक असुरक्षित तरीके से वाहन चला रहा है,Neutral,0.38,Tamil Nadu,Karur
TRN_HI_00021,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.33,Tamil Nadu,Trichy
TRN_HI_00022,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.61,Tamil Nadu,Trichy
TRN_HI_00023,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.71,Tamil Nadu,Coimbatore
TRN_HI_00024,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.32,Tamil Nadu,Karur
TRN_HI_00025,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Neutral,0.34,Tamil Nadu,Coimbatore
TRN_HI_00026,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.96,Tamil Nadu,Salem
TRN_HI_00027,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Neutral,0.3,Tamil Nadu,Trichy
TRN_HI_00028,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.61,Tamil Nadu,Karur
TRN_HI_00029,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.48,Tamil Nadu,Karur
TRN_HI_00030,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Negative,0.98,Tamil Nadu,Coimbatore
TRN_HI_00031,Transport Services,Hindi,बस पास जारी करने में देरी,Negative,0.66,Tamil Nadu,Coimbatore
TRN_HI_00032,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.85,Tamil Nadu,Erode
TRN_HI_00033,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.9,Tamil Nadu,Trichy
TRN_HI_00034,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Neutral,0.51,Tamil Nadu,Erode
TRN_HI_00035,Transport Services,Hindi,बस चालक असुरक्षित तरीके से वाहन चला रहा है,Negative,0.86,Tamil Nadu,Karur
TRN_HI_00036,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Negative,0.84,Tamil Nadu,Salem
TRN_HI_00037,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Neutral,0.38,Tamil Nadu,Salem
TRN_HI_00038,Transport Services,Hindi,बस पास जारी करने में देरी,Negative,0.67,Tamil Nadu,Coimbatore
TRN_HI_00039,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.86,Tamil Nadu,Trichy
TRN_HI_00040,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.37,Tamil Nadu,Karur
TRN_HI_00041,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Neutral,0.37,Tamil Nadu,Erode
TRN_HI_00042,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.87,Tamil Nadu,Erode
TRN_HI_00043,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.67,Tamil Nadu,Trichy
TRN_HI_00044,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Neutral,0.45,Tamil Nadu,Trichy
TRN_HI_00045,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.77,Tamil Nadu,Coimbatore
TRN_HI_00046,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Neutral,0.37,Tamil Nadu,Salem
TRN_HI_00047,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.8,Tamil Nadu,Salem
TRN_HI_00048,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.32,Tamil Nadu,Erode
TRN_HI_00049,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Negative,0.74,Tamil Nadu,Salem
TRN_HI_00050,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.35,Tamil Nadu,Erode
TRN_HI_00051,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.58,Tamil Nadu,Karur
TRN_HI_00052,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.65,Tamil Nadu,Coimbatore
TRN_HI_00053,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.9,Tamil Nadu,Erode
TRN_HI_00054,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Neutral,0.52,Tamil Nadu,Trichy
TRN_HI_00055,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Neutral,0.4,Tamil Nadu,Karur
TRN_HI_00056,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Negative,0.9,Tamil Nadu,Salem
TRN_HI_00057,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.46,Tamil Nadu,Salem
TRN_HI_00058,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.57,Tamil Nadu,Coimbatore
TRN_HI_00059,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.46,Tamil Nadu,Coimbatore
TRN_HI_00060,Transport Services,Hindi,बस पास जारी करने में देरी,Negative,0.78,Tamil Nadu,Karur
TRN_HI_00061,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.39,Tamil Nadu,Trichy
TRN_HI_00062,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.48,Tamil Nadu,Salem
TRN_HI_00063,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.38,Tamil Nadu,Salem
TRN_HI_00064,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Neutral,0.49,Tamil Nadu,Trichy
TRN_HI_00065,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.87,Tamil Nadu,Karur
TRN_HI_00066,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.62,Tamil Nadu,Coimbatore
TRN_HI_00067,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.71,Tamil Nadu,Salem
TRN_HI_00068,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.8,Tamil Nadu,Salem
TRN_HI_00069,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.83,Tamil Nadu,Erode
TRN_HI_00070,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.46,Tamil Nadu,Salem
TRN_HI_00071,Transport Services,Hindi,बस पास जारी करने में देरी,Negative,0.63,Tamil Nadu,Coimbatore
TRN_HI_00072,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.34,Tamil Nadu,Erode
TRN_HI_00073,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.4,Tamil Nadu,Erode
TRN_HI_00074,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Neutral,0.36,Tamil Nadu,Salem
TRN_HI_00075,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.38,Tamil Nadu,Erode
TRN_HI_00076,Transport Services,Hindi,बस स्टॉप पर उचित शेल्टर नहीं है,Neutral,0.45,Tamil Nadu,Trichy
TRN_HI_00077,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.63,Tamil Nadu,Trichy
TRN_HI_00078,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.61,Tamil Nadu,Karur
TRN_HI_00079,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Negative,0.7,Tamil Nadu,Salem
TRN_HI_00080,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Neutral,0.47,Tamil Nadu,Karur
TRN_HI_00081,Transport Services,Hindi,बस पास जारी करने में देरी,Neutral,0.33,Tamil Nadu,Trichy
TRN_HI_00082,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Neutral,0.55,Tamil Nadu,Erode
TRN_HI_00083,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.71,Tamil Nadu,Salem
TRN_HI_00084,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Neutral,0.55,Tamil Nadu,Coimbatore
TRN_HI_00085,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.3,Tamil Nadu,Trichy
TRN_HI_00086,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.79,Tamil Nadu,Erode
TRN_HI_00087,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Negative,0.65,Tamil Nadu,Trichy
TRN_HI_00088,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Neutral,0.39,Tamil Nadu,Trichy
TRN_HI_00089,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Negative,0.81,Tamil Nadu,Coimbatore
TRN_HI_00090,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Negative,0.89,Tamil Nadu,Salem
TRN_HI_00091,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Neutral,0.33,Tamil Nadu,Trichy
TRN_HI_00092,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.67,Tamil Nadu,Erode
TRN_HI_00093,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.48,Tamil Nadu,Coimbatore
TRN_HI_00094,Transport Services,Hindi,बस कंडक्टर का व्यवहार ठीक नहीं है,Neutral,0.42,Tamil Nadu,Salem
TRN_HI_00095,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.5,Tamil Nadu,Karur
TRN_HI_00096,Transport Services,Hindi,इस मार्ग पर बस सेवा उपलब्ध नहीं है,Negative,0.87,Tamil Nadu,Erode
TRN_HI_00097,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.94,Tamil Nadu,Coimbatore
TRN_HI_00098,Transport Services,Hindi,बस पास जारी करने में देरी,Negative,0.76,Tamil Nadu,Karur
TRN_HI_00099,Transport Services,Hindi,सार्वजनिक बसों में अत्यधिक भीड़,Negative,0.84,Tamil Nadu,Coimbatore
TRN_HI_00100,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.47,Tamil Nadu,Coimbatore
TRN_HI_00101,Transport Services,Hindi,बिना सूचना के बस किराया बढ़ा दिया गया,Neutral,0.58,Tamil Nadu,Karur
TRN_HI_00102,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Neutral,0.42,Tamil Nadu,Karur
TRN_HI_00103,Transport Services,Hindi,बस चालक असुरक्षित तरीके से वाहन चला रहा है,Neutral,0.41,Tamil Nadu,Salem
TRN_HI_00104,Transport Services,Hindi,बसों की स्थिति बहुत खराब है,Negative,0.63,Tamil Nadu,Karur
TRN_HI_00105,Transport Services,Hindi,बसें बार-बार खराब हो जाती हैं,Negative,0.96,Tamil Nadu,Coimbatore
TRN_HI_00106,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.79,Tamil Nadu,Trichy
TRN_HI_00107,Transport Services,Hindi,सरकारी बस निर्धारित समय पर नहीं चल रही है,Negative,0.78,Tamil Nadu,Coimbatore
