complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
ELC_00001,Electricity,English,Frequent voltage fluctuations damaging appliances,Neutral,0.54,Tamil Nadu,Trichy
ELC_00002,Electricity,English,Street lights not working properly,Negative,1.0,Tamil Nadu,Karur
ELC_00003,Electricity,English,Sudden power shutdown without notice,Neutral,0.54,Tamil Nadu,Coimbatore
ELC_00004,Electricity,English,Street lights not working properly,Negative,0.95,Tamil Nadu,Coimbatore
ELC_00005,Electricity,English,Street lights not working properly,Negative,0.65,Tamil Nadu,Coimbatore
ELC_00006,Electricity,English,Transformer failure causing power cut,Negative,0.81,Tamil Nadu,Erode
ELC_00007,Electricity,English,Electricity supply disrupted every evening,Neutral,0.45,Tamil Nadu,Karur
ELC_00008,Electricity,English,Street lights not working properly,Neutral,0.58,Tamil Nadu,Erode
ELC_00009,Electricity,English,Meter reading not updated correctly,Neutral,0.36,Tamil Nadu,Trichy
ELC_00010,Electricity,English,Frequent voltage fluctuations damaging appliances,Negative,0.95,Tamil Nadu,Trichy
ELC_00011,Electricity,English,Street lights not working properly,Neutral,0.49,Tamil Nadu,Erode
ELC_00012,Electricity,English,Electricity supply disrupted every evening,Neutral,0.53,Tamil Nadu,Erode
ELC_00013,Electricity,English,Transformer failure causing power cut,Negative,0.87,Tamil Nadu,Karur
ELC_00014,Electricity,English,Street lights not working properly,Neutral,0.53,Tamil Nadu,Trichy
ELC_00015,Electricity,English,Electricity supply disrupted every evening,Negative,0.76,Tamil Nadu,Coimbatore
ELC_00016,Electricity,English,Transformer failure causing power cut,Negative,0.62,Tamil Nadu,Trichy
ELC_00017,Electricity,English,Electricity not restored after heavy rain,Neutral,0.42,Tamil Nadu,Karur
ELC_00018,Electricity,English,Power outage in my area since 2 hours,Neutral,0.42,Tamil Nadu,Karur
ELC_00019,Electricity,English,Power outage in my area since 53 hours,Negative,0.77,Tamil Nadu,Salem
ELC_00020,Electricity,English,Electricity supply disrupted every evening,Neutral,0.59,Tamil Nadu,Karur
ELC_00021,Electricity,English,Sudden power shutdown without notice,Negative,0.82,Tamil Nadu,Erode
ELC_00022,Electricity,English,Power line sparking near residential area,Negative,0.68,Tamil Nadu,Karur
ELC_00023,Electricity,English,Electricity not restored after heavy rain,Negative,0.78,Tamil Nadu,Salem
ELC_00024,Electricity,English,Electricity supply disrupted every evening,Neutral,0.52,Tamil Nadu,Trichy
ELC_00025,Electricity,English,Transformer failure causing power cut,Neutral,0.51,Tamil Nadu,Erode
ELC_00026,Electricity,English,Frequent voltage fluctuations damaging appliances,Negative,0.71,Tamil Nadu,Coimbatore
ELC_00027,Electricity,English,Electricity not restored after heavy rain,Negative,0.78,Tamil Nadu,Trichy
ELC_00028,Electricity,English,Electricity not restored after heavy rain,Neutral,0.38,Tamil Nadu,Karur
ELC_00029,Electricity,English,Meter reading not updated correctly,Negative,0.96,Tamil Nadu,Coimbatore
ELC_00030,Electricity,English,Meter reading not updated correctly,Neutral,0.57,Tamil Nadu,Coimbatore
