complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
WAT_HI_00001,Water Supply,Hindi,पानी की आपूर्ति का समय अनियमित है,Neutral,0.38,Tamil Nadu,Coimbatore
WAT_HI_00002,Water Supply,Hindi,क्षतिग्रस्त पाइप के कारण पानी बह रहा है,Neutral,0.53,Tamil Nadu,Coimbatore
WAT_HI_00003,Water Supply,Hindi,क्षतिग्रस्त पाइप के कारण पानी बह रहा है,Neutral,0.44,Tamil Nadu,Erode
WAT_HI_00004,Water Supply,Hindi,बिना सूचना के पानी की आपूर्ति बंद कर दी गई,Neutral,0.51,Tamil Nadu,Karur
WAT_HI_00005,Water Supply,Hindi,पिछले कुछ दिनों से पानी का दबाव बहुत कम है,Neutral,0.39,Tamil Nadu,Salem
WAT_HI_00006,Water Supply,Hindi,नल से गंदा पानी आ रहा है,Negative,0.82,Tamil Nadu,Coimbatore
WAT_HI_00007,Water Supply,Hindi,पिछले कुछ दिनों से पानी का दबाव बहुत कम है,Negative,0.75,Tamil Nadu,Coimbatore
WAT_HI_00008,Water Supply,Hindi,क्षतिग्रस्त पाइप के कारण पानी बह रहा है,Neutral,0.43,Tamil Nadu,Salem
WAT_HI_00009,Water Supply,Hindi,पानी की आपूर्ति का समय अनियमित है,Negative,0.76,Tamil Nadu,Trichy
WAT_HI_00010,Water Supply,Hindi,मेरे घर के पास पानी की पाइपलाइन में रिसाव है,Negative,0.69,Tamil Nadu,Erode
WAT_HI_00011,Water Supply,Hindi,सार्वजनिक पानी का नल काम नहीं कर रहा है,Neutral,0.34,Tamil Nadu,Coimbatore
WAT_HI_00012,Water Supply,Hindi,मेरे क्षेत्र में पिछले 16 घंटों से पानी नहीं है,Neutral,0.46,Tamil Nadu,Trichy
WAT_HI_00013,Water Supply,Hindi,क्षतिग्रस्त पाइप के कारण पानी बह रहा है,Neutral,0.39,Tamil Nadu,Salem
WAT_HI_00014,Water Supply,Hindi,सार्वजनिक पानी का नल काम नहीं कर रहा है,Negative,0.98,Tamil Nadu,Salem
