complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
MUN_HI_00001,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Neutral,0.57,Tamil Nadu,Salem
MUN_HI_00002,Municipal Administration,Hindi,नगरपालिका कार्यालय के कर्मचारी जवाब नहीं दे रहे हैं,Neutral,0.36,Tamil Nadu,Trichy
MUN_HI_00003,Municipal Administration,Hindi,जन्म प्रमाण पत्र जारी करने में देरी,Negative,0.63,Tamil Nadu,Trichy
MUN_HI_00004,Municipal Administration,Hindi,घर संख्या आवंटन में देरी,Negative,0.6,Tamil Nadu,Trichy
MUN_HI_00005,Municipal Administration,Hindi,सार्वजनिक भूमि पर अतिक्रमण,Neutral,0.41,Tamil Nadu,Karur
MUN_HI_00006,Municipal Administration,Hindi,सार्वजनिक भूमि पर अतिक्रमण,Negative,0.91,Tamil Nadu,Coimbatore
MUN_HI_00007,Municipal Administration,Hindi,सार्वजनिक भूमि पर अतिक्रमण,Negative,0.93,Tamil Nadu,Trichy
MUN_HI_00008,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Negative,0.69,Tamil Nadu,Erode
MUN_HI_00009,Municipal Administration,Hindi,संपत्ति कर से संबंधित समस्या हल नहीं हुई है,Neutral,0.45,Tamil Nadu,Coimbatore
MUN_HI_00010,Municipal Administration,Hindi,संपत्ति कर से संबंधित समस्या हल नहीं हुई है,Negative,0.94,Tamil Nadu,Salem
MUN_HI_00011,Municipal Administration,Hindi,घर संख्या आवंटन में देरी,Negative,0.6,Tamil Nadu,Coimbatore
MUN_HI_00012,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Neutral,0.57,Tamil Nadu,Karur
MUN_HI_00013,Municipal Administration,Hindi,जन्म प्रमाण पत्र जारी करने में देरी,Negative,0.7,Tamil Nadu,Trichy
MUN_HI_00014,Municipal Administration,Hindi,सार्वजनिक भूमि पर अतिक्रमण,Neutral,0.35,Tamil Nadu,Trichy
MUN_HI_00015,Municipal Administration,Hindi,घर संख्या आवंटन में देरी,Negative,0.85,Tamil Nadu,Coimbatore
MUN_HI_00016,Municipal Administration,Hindi,मृत्यु प्रमाण पत्र का आवेदन लंबित है,Negative,0.94,Tamil Nadu,Karur
MUN_HI_00017,Municipal Administration,Hindi,संपत्ति कर से संबंधित समस्या हल नहीं हुई है,Negative,0.94,Tamil Nadu,Karur
MUN_HI_00018,Municipal Administration,Hindi,व्यापार लाइसेंस जारी करने में देरी,Neutral,0.52,Tamil Nadu,Salem
MUN_HI_00019,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Negative,0.78,Tamil Nadu,Trichy
MUN_HI_00020,Municipal Administration,Hindi,जन्म प्रमाण पत्र जारी करने में देरी,Negative,0.92,Tamil Nadu,Karur
MUN_HI_00021,Municipal Administration,Hindi,मृत्यु प्रमाण पत्र का आवेदन लंबित है,Negative,0.84,Tamil Nadu,Erode
MUN_HI_00022,Municipal Administration,Hindi,मृत्यु प्रमाण पत्र का आवेदन लंबित है,Negative,0.87,Tamil Nadu,Trichy
MUN_HI_00023,Municipal Administration,Hindi,जन्म प्रमाण पत्र जारी करने में देरी,Neutral,0.45,Tamil Nadu,Erode
MUN_HI_00024,Municipal Administration,Hindi,व्यापार लाइसेंस जारी करने में देरी,Neutral,0.59,Tamil Nadu,Karur
MUN_HI_00025,Municipal Administration,Hindi,संपत्ति कर से संबंधित समस्या हल नहीं हुई है,Neutral,0.5,Tamil Nadu,Karur
MUN_HI_00026,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Negative,0.97,Tamil Nadu,Trichy
MUN_HI_00027,Municipal Administration,Hindi,भवन निर्माण की अनुमति में देरी,Negative,0.68,Tamil Nadu,Karur
