complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
ELC_HI_00001,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Neutral,0.47,Tamil Nadu,Erode
ELC_HI_00002,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.61,Tamil Nadu,Salem
ELC_HI_00003,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Negative,0.81,Tamil Nadu,Trichy
ELC_HI_00004,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Neutral,0.45,Tamil Nadu,Erode
ELC_HI_00005,Electricity,Hindi,रात के समय कम वोल्टेज की समस्या है,Negative,0.94,Tamil Nadu,Trichy
ELC_HI_00006,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Negative,0.8,Tamil Nadu,Salem
ELC_HI_00007,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.75,Tamil Nadu,Salem
ELC_HI_00008,Electricity,Hindi,रात के समय कम वोल्टेज की समस्या है,Neutral,0.53,Tamil Nadu,Coimbatore
ELC_HI_00009,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Negative,0.79,Tamil Nadu,Coimbatore
ELC_HI_00010,Electricity,Hindi,मेरे क्षेत्र में पिछले 26 घंटों से बिजली नहीं है,Neutral,0.51,Tamil Nadu,Salem
ELC_HI_00011,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Neutral,0.39,Tamil Nadu,Salem
ELC_HI_00012,Electricity,Hindi,मेरे क्षेत्र में पिछले 70 घंटों से बिजली नहीं है,Neutral,0.37,Tamil Nadu,Coimbatore
ELC_HI_00013,Electricity,Hindi,भारी बारिश के बाद बिजली बहाल नहीं हुई है,Neutral,0.38,Tamil Nadu,Erode
ELC_HI_00014,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Neutral,0.33,Tamil Nadu,Salem
ELC_HI_00015,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Negative,1.0,Tamil Nadu,Trichy
ELC_HI_00016,Electricity,Hindi,बिना किसी सूचना के बिजली काटी जा रही है,Neutral,0.37,Tamil Nadu,Karur
ELC_HI_00017,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Negative,0.64,Tamil Nadu,Karur
ELC_HI_00018,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.35,Tamil Nadu,Coimbatore
ELC_HI_00019,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.75,Tamil Nadu,Erode
ELC_HI_00020,Electricity,Hindi,बिना किसी सूचना के बिजली काटी जा रही है,Negative,0.99,Tamil Nadu,Salem
ELC_HI_00021,Electricity,Hindi,रात के समय कम वोल्टेज की समस्या है,Negative,0.8,Tamil Nadu,Coimbatore
ELC_HI_00022,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Neutral,0.41,Tamil Nadu,Coimbatore
ELC_HI_00023,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Neutral,0.38,Tamil Nadu,Trichy
ELC_HI_00024,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Negative,0.68,Tamil Nadu,Coimbatore
ELC_HI_00025,Electricity,Hindi,घर के पास बिजली के तारों से चिंगारी निकल रही है,Negative,0.83,Tamil Nadu,Coimbatore
ELC_HI_00026,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Neutral,0.52,Tamil Nadu,Karur
ELC_HI_00027,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.86,Tamil Nadu,Coimbatore
ELC_HI_00028,Electricity,Hindi,भारी बारिश के बाद बिजली बहाल नहीं हुई है,Negative,0.79,Tamil Nadu,Trichy
ELC_HI_00029,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.36,Tamil Nadu,Coimbatore
ELC_HI_00030,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Neutral,0.52,Tamil Nadu,Trichy
ELC_HI_00031,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.47,Tamil Nadu,Erode
ELC_HI_00032,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.56,Tamil Nadu,Coimbatore
ELC_HI_00033,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Neutral,0.54,Tamil Nadu,Coimbatore
ELC_HI_00034,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Neutral,0.34,Tamil Nadu,Trichy
ELC_HI_00035,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Neutral,0.45,Tamil Nadu,Karur
ELC_HI_00036,Electricity,Hindi,घर के पास बिजली के तारों से चिंगारी निकल रही है,Negative,0.93,Tamil Nadu,Trichy
ELC_HI_00037,Electricity,Hindi,भारी बारिश के बाद बिजली बहाल नहीं हुई है,Negative,0.83,Tamil Nadu,Erode
ELC_HI_00038,Electricity,Hindi,ट्रांसफॉर्मर खराब होने के कारण बिजली आपूर्ति बाधित है,Negative,0.85,Tamil Nadu,Erode
ELC_HI_00039,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.32,Tamil Nadu,Erode
ELC_HI_00040,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.32,Tamil Nadu,Erode
ELC_HI_00041,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.33,Tamil Nadu,Coimbatore
ELC_HI_00042,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.44,Tamil Nadu,Karur
ELC_HI_00043,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.53,Tamil Nadu,Coimbatore
ELC_HI_00044,Electricity,Hindi,रात के समय कम वोल्टेज की समस्या है,Neutral,0.32,Tamil Nadu,Coimbatore
ELC_HI_00045,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.36,Tamil Nadu,Salem
ELC_HI_00046,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Neutral,0.35,Tamil Nadu,Coimbatore
ELC_HI_00047,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.96,Tamil Nadu,Erode
ELC_HI_00048,Electricity,Hindi,भारी बारिश के बाद बिजली बहाल नहीं हुई है,Negative,0.77,Tamil Nadu,Coimbatore
ELC_HI_00049,Electricity,Hindi,स्ट्रीट लाइट्स सही तरीके से काम नहीं कर रही हैं,Negative,0.94,Tamil Nadu,Coimbatore
ELC_HI_00050,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Negative,0.7,Tamil Nadu,Trichy
ELC_HI_00051,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.52,Tamil Nadu,Trichy
ELC_HI_00052,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Neutral,0.38,Tamil Nadu,Salem
ELC_HI_00053,Electricity,Hindi,बिना किसी सूचना के बिजली काटी जा रही है,Neutral,0.52,Tamil Nadu,Salem
ELC_HI_00054,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.51,Tamil Nadu,Trichy
ELC_HI_00055,Electricity,Hindi,रात के समय कम वोल्टेज की समस्या है,Neutral,0.39,Tamil Nadu,Erode
ELC_HI_00056,Electricity,Hindi,घर के पास बिजली के तारों से चिंगारी निकल रही है,Neutral,0.37,Tamil Nadu,Salem
ELC_HI_00057,Electricity,Hindi,हर शाम बिजली आपूर्ति बाधित हो रही है,Negative,0.73,Tamil Nadu,Erode
ELC_HI_00058,Electricity,Hindi,बार-बार वोल्टेज उतार-चढ़ाव से उपकरण खराब हो रहे हैं,Negative,0.65,Tamil Nadu,Trichy
ELC_HI_00059,Electricity,Hindi,मीटर रीडिंग सही तरीके से अपडेट नहीं की गई है,Neutral,0.3,Tamil Nadu,Erode
