complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
WAT_EN_00001,Water Supply,English,Drinking water supply is contaminated,Neutral,0.39,Tamil Nadu,Salem
WAT_EN_00002,Water Supply,English,No water supply in my area since 2 hours,Negative,0.93,Tamil Nadu,Coimbatore
WAT_EN_00003,Water Supply,English,Water supply stopped without prior notice,Neutral,0.52,Tamil Nadu,Karur
WAT_EN_00004,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.49,Tamil Nadu,Erode
WAT_EN_00005,Water Supply,English,Dirty water coming from tap,Neutral,0.32,Tamil Nadu,Salem
WAT_EN_00006,Water Supply,English,Irregular water supply timings,Neutral,0.37,Tamil Nadu,Karur
WAT_EN_00007,Water Supply,English,Dirty water coming from tap,Negative,0.62,Tamil Nadu,Karur
WAT_EN_00008,Water Supply,English,Irregular water supply timings,Negative,0.88,Tamil Nadu,Salem
WAT_EN_00009,Water Supply,English,Water pipeline leakage near my house,Negative,0.81,Tamil Nadu,Trichy
WAT_EN_00010,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.54,Tamil Nadu,Erode
WAT_EN_00011,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.58,Tamil Nadu,Salem
WAT_EN_00012,Water Supply,English,Irregular water supply timings,Negative,0.76,Tamil Nadu,Trichy
WAT_EN_00013,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.37,Tamil Nadu,Trichy
WAT_EN_00014,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.57,Tamil Nadu,Salem
WAT_EN_00015,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.83,Tamil Nadu,Trichy
WAT_EN_00016,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.7,Tamil Nadu,Coimbatore
WAT_EN_00017,Water Supply,English,Dirty water coming from tap,Neutral,0.58,Tamil Nadu,Coimbatore
WAT_EN_00018,Water Supply,English,Public water tap not functioning,Neutral,0.53,Tamil Nadu,Coimbatore
WAT_EN_00019,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.39,Tamil Nadu,Coimbatore
WAT_EN_00020,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.6,Tamil Nadu,Karur
WAT_EN_00021,Water Supply,English,Public water tap not functioning,Negative,0.8,Tamil Nadu,Trichy
WAT_EN_00022,Water Supply,English,No water supply in my area since 35 hours,Negative,0.72,Tamil Nadu,Erode
WAT_EN_00023,Water Supply,English,No water supply in my area since 40 hours,Neutral,0.37,Tamil Nadu,Coimbatore
WAT_EN_00024,Water Supply,English,Water supply stopped without prior notice,Neutral,0.37,Tamil Nadu,Coimbatore
WAT_EN_00025,Water Supply,English,Low water pressure for the past few days,Negative,0.68,Tamil Nadu,Trichy
WAT_EN_00026,Water Supply,English,Low water pressure for the past few days,Negative,0.94,Tamil Nadu,Erode
WAT_EN_00027,Water Supply,English,Public water tap not functioning,Negative,0.94,Tamil Nadu,Karur
WAT_EN_00028,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.48,Tamil Nadu,Salem
WAT_EN_00029,Water Supply,English,Dirty water coming from tap,Neutral,0.31,Tamil Nadu,Karur
WAT_EN_00030,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.93,Tamil Nadu,Salem
WAT_EN_00031,Water Supply,English,Water supply stopped without prior notice,Neutral,0.45,Tamil Nadu,Erode
WAT_EN_00032,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.57,Tamil Nadu,Coimbatore
WAT_EN_00033,Water Supply,English,Irregular water supply timings,Neutral,0.54,Tamil Nadu,Erode
WAT_EN_00034,Water Supply,English,Irregular water supply timings,Negative,0.7,Tamil Nadu,Karur
WAT_EN_00035,Water Supply,English,Water supply stopped without prior notice,Neutral,0.36,Tamil Nadu,Erode
WAT_EN_00036,Water Supply,English,Dirty water coming from tap,Negative,0.71,Tamil Nadu,Erode
WAT_EN_00037,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.4,Tamil Nadu,Salem
WAT_EN_00038,Water Supply,English,Irregular water supply timings,Negative,0.84,Tamil Nadu,Coimbatore
WAT_EN_00039,Water Supply,English,No water supply in my area since 50 hours,Negative,0.85,Tamil Nadu,Salem
WAT_EN_00040,Water Supply,English,Public water tap not functioning,Negative,0.95,Tamil Nadu,Salem
WAT_EN_00041,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.73,Tamil Nadu,Trichy
WAT_EN_00042,Water Supply,English,Irregular water supply timings,Neutral,0.5,Tamil Nadu,Erode
WAT_EN_00043,Water Supply,English,Irregular water supply timings,Neutral,0.38,Tamil Nadu,Erode
WAT_EN_00044,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.81,Tamil Nadu,Salem
WAT_EN_00045,Water Supply,English,Drinking water supply is contaminated,Negative,0.98,Tamil Nadu,Erode
WAT_EN_00046,Water Supply,English,Dirty water coming from tap,Negative,0.83,Tamil Nadu,Coimbatore
WAT_EN_00047,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.54,Tamil Nadu,Salem
WAT_EN_00048,Water Supply,English,Dirty water coming from tap,Neutral,0.43,Tamil Nadu,Trichy
WAT_EN_00049,Water Supply,English,Public water tap not functioning,Neutral,0.42,Tamil Nadu,Coimbatore
WAT_EN_00050,Water Supply,English,No water supply in my area since 30 hours,Negative,0.88,Tamil Nadu,Erode
WAT_EN_00051,Water Supply,English,Water supply stopped without prior notice,Neutral,0.5,Tamil Nadu,Trichy
WAT_EN_00052,Water Supply,English,Low water pressure for the past few days,Negative,0.93,Tamil Nadu,Trichy
WAT_EN_00053,Water Supply,English,Water pipeline leakage near my house,Neutral,0.34,Tamil Nadu,Karur
WAT_EN_00054,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.57,Tamil Nadu,Erode
WAT_EN_00055,Water Supply,English,Dirty water coming from tap,Neutral,0.48,Tamil Nadu,Karur
WAT_EN_00056,Water Supply,English,Water supply stopped without prior notice,Negative,0.96,Tamil Nadu,Erode
WAT_EN_00057,Water Supply,English,Dirty water coming from tap,Neutral,0.37,Tamil Nadu,Trichy
WAT_EN_00058,Water Supply,English,Water supply stopped without prior notice,Neutral,0.44,Tamil Nadu,Coimbatore
WAT_EN_00059,Water Supply,English,Public water tap not functioning,Negative,0.94,Tamil Nadu,Karur
WAT_EN_00060,Water Supply,English,Water pipeline leakage near my house,Negative,0.71,Tamil Nadu,Erode
WAT_EN_00061,Water Supply,English,Water pipeline leakage near my house,Neutral,0.32,Tamil Nadu,Erode
WAT_EN_00062,Water Supply,English,Irregular water supply timings,Negative,0.92,Tamil Nadu,Salem
WAT_EN_00063,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.38,Tamil Nadu,Coimbatore
WAT_EN_00064,Water Supply,English,Public water tap not functioning,Neutral,0.34,Tamil Nadu,Trichy
WAT_EN_00065,Water Supply,English,Water pipeline leakage near my house,Negative,0.87,Tamil Nadu,Salem
WAT_EN_00066,Water Supply,English,Drinking water supply is contaminated,Neutral,0.54,Tamil Nadu,Coimbatore
WAT_EN_00067,Water Supply,English,Drinking water supply is contaminated,Neutral,0.36,Tamil Nadu,Karur
WAT_EN_00068,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.68,Tamil Nadu,Coimbatore
WAT_EN_00069,Water Supply,English,Water supply stopped without prior notice,Negative,0.89,Tamil Nadu,Erode
WAT_EN_00070,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.4,Tamil Nadu,Trichy
WAT_EN_00071,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.78,Tamil Nadu,Salem
WAT_EN_00072,Water Supply,English,Public water tap not functioning,Neutral,0.48,Tamil Nadu,Salem
WAT_EN_00073,Water Supply,English,Water supply stopped without prior notice,Negative,0.87,Tamil Nadu,Erode
WAT_EN_00074,Water Supply,English,Drinking water supply is contaminated,Negative,0.65,Tamil Nadu,Trichy
WAT_EN_00075,Water Supply,English,Public water tap not functioning,Neutral,0.47,Tamil Nadu,Erode
WAT_EN_00076,Water Supply,English,Water supply stopped without prior notice,Neutral,0.35,Tamil Nadu,Trichy
WAT_EN_00077,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.51,Tamil Nadu,Salem
WAT_EN_00078,Water Supply,English,Irregular water supply timings,Neutral,0.38,Tamil Nadu,Erode
WAT_EN_00079,Water Supply,English,Irregular water supply timings,Neutral,0.3,Tamil Nadu,Trichy
WAT_EN_00080,Water Supply,English,Dirty water coming from tap,Neutral,0.47,Tamil Nadu,Salem
WAT_EN_00081,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.67,Tamil Nadu,Salem
WAT_EN_00082,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.52,Tamil Nadu,Trichy
WAT_EN_00083,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.48,Tamil Nadu,Trichy
WAT_EN_00084,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.42,Tamil Nadu,Trichy
WAT_EN_00085,Water Supply,English,Water pipeline leakage near my house,Negative,0.89,Tamil Nadu,Coimbatore
WAT_EN_00086,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.92,Tamil Nadu,Erode
WAT_EN_00087,Water Supply,English,Public water tap not functioning,Negative,0.98,Tamil Nadu,Erode
WAT_EN_00088,Water Supply,English,No water supply in my area since 9 hours,Neutral,0.52,Tamil Nadu,Trichy
WAT_EN_00089,Water Supply,English,Dirty water coming from tap,Negative,0.83,Tamil Nadu,Trichy
WAT_EN_00090,Water Supply,English,Drinking water supply is contaminated,Neutral,0.48,Tamil Nadu,Karur
WAT_EN_00091,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.8,Tamil Nadu,Salem
WAT_EN_00092,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.97,Tamil Nadu,Coimbatore
WAT_EN_00093,Water Supply,English,Dirty water coming from tap,Negative,0.93,Tamil Nadu,Salem
WAT_EN_00094,Water Supply,English,Water supply stopped without prior notice,Negative,0.66,Tamil Nadu,Salem
WAT_EN_00095,Water Supply,English,Water pipeline leakage near my house,Negative,0.61,Tamil Nadu,Erode
WAT_EN_00096,Water Supply,English,Water supply stopped without prior notice,Negative,0.62,Tamil Nadu,Trichy
WAT_EN_00097,Water Supply,English,Water supply stopped without prior notice,Negative,0.64,Tamil Nadu,Coimbatore
WAT_EN_00098,Water Supply,English,Drinking water supply is contaminated,Neutral,0.58,Tamil Nadu,Coimbatore
WAT_EN_00099,Water Supply,English,Public water tap not functioning,Neutral,0.42,Tamil Nadu,Salem
WAT_EN_00100,Water Supply,English,Dirty water coming from tap,Negative,0.89,Tamil Nadu,Karur
WAT_EN_00101,Water Supply,English,Water pipeline leakage near my house,Negative,0.67,Tamil Nadu,Coimbatore
WAT_EN_00102,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.63,Tamil Nadu,Erode
WAT_EN_00103,Water Supply,English,Low water pressure for the past few days,Neutral,0.47,Tamil Nadu,Coimbatore
WAT_EN_00104,Water Supply,English,Public water tap not functioning,Negative,0.72,Tamil Nadu,Salem
WAT_EN_00105,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.55,Tamil Nadu,Erode
WAT_EN_00106,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.85,Tamil Nadu,Karur
WAT_EN_00107,Water Supply,English,Public water tap not functioning,Negative,0.78,Tamil Nadu,Karur
WAT_EN_00108,Water Supply,English,Irregular water supply timings,Negative,0.79,Tamil Nadu,Karur
WAT_EN_00109,Water Supply,English,Water supply stopped without prior notice,Negative,0.86,Tamil Nadu,Trichy
WAT_EN_00110,Water Supply,English,Low water pressure for the past few days,Negative,0.9,Tamil Nadu,Coimbatore
WAT_EN_00111,Water Supply,English,Public water tap not functioning,Neutral,0.52,Tamil Nadu,Erode
WAT_EN_00112,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.33,Tamil Nadu,Trichy
WAT_EN_00113,Water Supply,English,Water supply stopped without prior notice,Negative,0.73,Tamil Nadu,Salem
WAT_EN_00114,Water Supply,English,Water overflow due to damaged pipeline,Neutral,0.5,Tamil Nadu,Trichy
WAT_EN_00115,Water Supply,English,Public water tap not functioning,Neutral,0.31,Tamil Nadu,Erode
WAT_EN_00116,Water Supply,English,Low water pressure for the past few days,Neutral,0.54,Tamil Nadu,Erode
WAT_EN_00117,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.54,Tamil Nadu,Coimbatore
WAT_EN_00118,Water Supply,English,Drinking water supply is contaminated,Neutral,0.59,Tamil Nadu,Salem
WAT_EN_00119,Water Supply,English,Dirty water coming from tap,Neutral,0.37,Tamil Nadu,Trichy
WAT_EN_00120,Water Supply,English,Public water tap not functioning,Neutral,0.57,Tamil Nadu,Coimbatore
WAT_EN_00121,Water Supply,English,No water supply in my area since 52 hours,Negative,0.86,Tamil Nadu,Salem
WAT_EN_00122,Water Supply,English,Water pipeline leakage near my house,Neutral,0.53,Tamil Nadu,Trichy
WAT_EN_00123,Water Supply,English,Water pipeline leakage near my house,Neutral,0.3,Tamil Nadu,Trichy
WAT_EN_00124,Water Supply,English,Irregular water supply timings,Negative,0.98,Tamil Nadu,Karur
WAT_EN_00125,Water Supply,English,Low water pressure for the past few days,Neutral,0.44,Tamil Nadu,Karur
WAT_EN_00126,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.61,Tamil Nadu,Erode
WAT_EN_00127,Water Supply,English,Low water pressure for the past few days,Negative,0.77,Tamil Nadu,Coimbatore
WAT_EN_00128,Water Supply,English,Public water tap not functioning,Neutral,0.53,Tamil Nadu,Erode
WAT_EN_00129,Water Supply,English,Irregular water supply timings,Negative,0.83,Tamil Nadu,Salem
WAT_EN_00130,Water Supply,English,Low water pressure for the past few days,Negative,0.62,Tamil Nadu,Karur
WAT_EN_00131,Water Supply,English,Low water pressure for the past few days,Negative,0.87,Tamil Nadu,Trichy
WAT_EN_00132,Water Supply,English,Low water pressure for the past few days,Negative,0.69,Tamil Nadu,Coimbatore
WAT_EN_00133,Water Supply,English,Irregular water supply timings,Negative,0.62,Tamil Nadu,Trichy
WAT_EN_00134,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.85,Tamil Nadu,Erode
WAT_EN_00135,Water Supply,English,Public water tap not functioning,Negative,0.9,Tamil Nadu,Trichy
WAT_EN_00136,Water Supply,English,Low water pressure for the past few days,Neutral,0.39,Tamil Nadu,Salem
WAT_EN_00137,Water Supply,English,Low water pressure for the past few days,Negative,0.79,Tamil Nadu,Trichy
WAT_EN_00138,Water Supply,English,Water tanker not arrived as scheduled,Negative,0.61,Tamil Nadu,Salem
WAT_EN_00139,Water Supply,English,Low water pressure for the past few days,Neutral,0.32,Tamil Nadu,Salem
WAT_EN_00140,Water Supply,English,Public water tap not functioning,Neutral,0.43,Tamil Nadu,Erode
WAT_EN_00141,Water Supply,English,Public water tap not functioning,Neutral,0.39,Tamil Nadu,Trichy
WAT_EN_00142,Water Supply,English,Dirty water coming from tap,Negative,0.65,Tamil Nadu,Salem
WAT_EN_00143,Water Supply,English,Water tanker not arrived as scheduled,Neutral,0.4,Tamil Nadu,Coimbatore
WAT_EN_00144,Water Supply,English,Dirty water coming from tap,Neutral,0.43,Tamil Nadu,Trichy
WAT_EN_00145,Water Supply,English,Water pipeline leakage near my house,Neutral,0.57,Tamil Nadu,Trichy
WAT_EN_00146,Water Supply,English,Dirty water coming from tap,Negative,0.75,Tamil Nadu,Salem
WAT_EN_00147,Water Supply,English,Water overflow due to damaged pipeline,Negative,0.69,Tamil Nadu,Erode
WAT_EN_00148,Water Supply,English,Irregular water supply timings,Negative,0.93,Tamil Nadu,Karur
WAT_EN_00149,Water Supply,English,Drinking water supply is contaminated,Negative,0.79,Tamil Nadu,Salem
WAT_EN_00150,Water Supply,English,No water supply in my area since 62 hours,Negative,0.86,Tamil Nadu,Karur
