complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
EDU_HI_00001,Education Services,Hindi,कक्षाएं बहुत अधिक भरी हुई हैं,Neutral,0.47,Tamil Nadu,Salem
EDU_HI_00002,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.97,Tamil Nadu,Salem
EDU_HI_00003,Education Services,Hindi,ऑनलाइन कक्षाएं ठीक से नहीं चल रही हैं,Neutral,0.39,Tamil Nadu,Coimbatore
EDU_HI_00004,Education Services,Hindi,ऑनलाइन कक्षाएं ठीक से नहीं चल रही हैं,Negative,0.78,Tamil Nadu,Salem
EDU_HI_00005,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Neutral,0.5,Tamil Nadu,Salem
EDU_HI_00006,Education Services,Hindi,ऑनलाइन कक्षाएं ठीक से नहीं चल रही हैं,Neutral,0.43,Tamil Nadu,Coimbatore
EDU_HI_00007,Education Services,Hindi,छात्रों को पाठ्यपुस्तकें नहीं मिली हैं,Negative,0.91,Tamil Nadu,Karur
EDU_HI_00008,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.95,Tamil Nadu,Coimbatore
EDU_HI_00009,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Negative,0.7,Tamil Nadu,Erode
EDU_HI_00010,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.87,Tamil Nadu,Salem
EDU_HI_00011,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Neutral,0.39,Tamil Nadu,Trichy
EDU_HI_00012,Education Services,Hindi,सरकारी स्कूल में पर्याप्त शिक्षक नहीं हैं,Neutral,0.46,Tamil Nadu,Karur
EDU_HI_00013,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.82,Tamil Nadu,Coimbatore
EDU_HI_00014,Education Services,Hindi,छात्रों को पाठ्यपुस्तकें नहीं मिली हैं,Negative,0.82,Tamil Nadu,Karur
EDU_HI_00015,Education Services,Hindi,पुस्तकालय की सुविधाएं पर्याप्त नहीं हैं,Negative,0.66,Tamil Nadu,Erode
EDU_HI_00016,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Negative,0.72,Tamil Nadu,Erode
EDU_HI_00017,Education Services,Hindi,छात्रों को पाठ्यपुस्तकें नहीं मिली हैं,Negative,0.92,Tamil Nadu,Karur
EDU_HI_00018,Education Services,Hindi,मिड डे मील नियमित रूप से नहीं मिल रहा है,Neutral,0.45,Tamil Nadu,Karur
EDU_HI_00019,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.79,Tamil Nadu,Erode
EDU_HI_00020,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Neutral,0.51,Tamil Nadu,Trichy
EDU_HI_00021,Education Services,Hindi,सरकारी स्कूल में पर्याप्त शिक्षक नहीं हैं,Neutral,0.48,Tamil Nadu,Coimbatore
EDU_HI_00022,Education Services,Hindi,ऑनलाइन कक्षाएं ठीक से नहीं चल रही हैं,Neutral,0.4,Tamil Nadu,Salem
EDU_HI_00023,Education Services,Hindi,मिड डे मील नियमित रूप से नहीं मिल रहा है,Neutral,0.4,Tamil Nadu,Coimbatore
EDU_HI_00024,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Negative,0.82,Tamil Nadu,Erode
EDU_HI_00025,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.89,Tamil Nadu,Karur
EDU_HI_00026,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Neutral,0.56,Tamil Nadu,Karur
EDU_HI_00027,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.62,Tamil Nadu,Erode
EDU_HI_00028,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Neutral,0.54,Tamil Nadu,Coimbatore
EDU_HI_00029,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.89,Tamil Nadu,Salem
EDU_HI_00030,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.71,Tamil Nadu,Coimbatore
EDU_HI_00031,Education Services,Hindi,पुस्तकालय की सुविधाएं पर्याप्त नहीं हैं,Neutral,0.51,Tamil Nadu,Coimbatore
EDU_HI_00032,Education Services,Hindi,ऑनलाइन कक्षाएं ठीक से नहीं चल रही हैं,Negative,0.86,Tamil Nadu,Karur
EDU_HI_00033,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Neutral,0.38,Tamil Nadu,Karur
EDU_HI_00034,Education Services,Hindi,मिड डे मील नियमित रूप से नहीं मिल रहा है,Negative,0.8,Tamil Nadu,Salem
EDU_HI_00035,Education Services,Hindi,मिड डे मील नियमित रूप से नहीं मिल रहा है,Negative,0.64,Tamil Nadu,Karur
EDU_HI_00036,Education Services,Hindi,कक्षाएं बहुत अधिक भरी हुई हैं,Negative,0.61,Tamil Nadu,Coimbatore
EDU_HI_00037,Education Services,Hindi,सरकारी स्कूल में पर्याप्त शिक्षक नहीं हैं,Neutral,0.39,Tamil Nadu,Erode
EDU_HI_00038,Education Services,Hindi,स्कूल के शौचालय साफ नहीं हैं,Negative,0.91,Tamil Nadu,Karur
EDU_HI_00039,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Neutral,0.43,Tamil Nadu,Trichy
EDU_HI_00040,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Negative,0.69,Tamil Nadu,Trichy
EDU_HI_00041,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.84,Tamil Nadu,Trichy
EDU_HI_00042,Education Services,Hindi,सरकारी स्कूल में पर्याप्त शिक्षक नहीं हैं,Neutral,0.56,Tamil Nadu,Erode
EDU_HI_00043,Education Services,Hindi,छात्रों को पाठ्यपुस्तकें नहीं मिली हैं,Neutral,0.44,Tamil Nadu,Trichy
EDU_HI_00044,Education Services,Hindi,पुस्तकालय की सुविधाएं पर्याप्त नहीं हैं,Negative,0.88,Tamil Nadu,Karur
EDU_HI_00045,Education Services,Hindi,मिड डे मील नियमित रूप से नहीं मिल रहा है,Negative,0.72,Tamil Nadu,Salem
EDU_HI_00046,Education Services,Hindi,छात्रवृत्ति की राशि जमा नहीं हुई है,Negative,0.76,Tamil Nadu,Karur
EDU_HI_00047,Education Services,Hindi,कक्षाएं बहुत अधिक भरी हुई हैं,Neutral,0.44,Tamil Nadu,Trichy
EDU_HI_00048,Education Services,Hindi,स्कूल की इमारत की स्थिति खराब है,Neutral,0.31,Tamil Nadu,Coimbatore
EDU_HI_00049,Education Services,Hindi,स्कूल में बिजली की सुविधा नहीं है,Neutral,0.52,Tamil Nadu,Trichy
EDU_HI_00050,Education Services,Hindi,छात्रों को पाठ्यपुस्तकें नहीं मिली हैं,Neutral,0.54,Tamil Nadu,Coimbatore
