complaint_id,department,language,complaint_text,sentiment,urgency_score,state,district
RD_HI_00001,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Negative,0.7,Tamil Nadu,Salem
RD_HI_00002,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Neutral,0.41,Tamil Nadu,Coimbatore
RD_HI_00003,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Negative,0.96,Tamil Nadu,Salem
RD_HI_00004,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Negative,0.92,Tamil Nadu,Salem
RD_HI_00005,Public Works (Roads),Hindi,फुटपाथ टूट चुका है और चलने में खतरा है,Neutral,0.59,Tamil Nadu,Erode
RD_HI_00006,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Negative,0.77,Tamil Nadu,Salem
RD_HI_00007,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Neutral,0.47,Tamil Nadu,Trichy
RD_HI_00008,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Negative,0.79,Tamil Nadu,Coimbatore
RD_HI_00009,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Neutral,0.48,Tamil Nadu,Salem
RD_HI_00010,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Neutral,0.58,Tamil Nadu,Trichy
RD_HI_00011,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Negative,0.87,Tamil Nadu,Erode
RD_HI_00012,Public Works (Roads),Hindi,सड़क पर नाले का पानी बह रहा है,Negative,0.6,Tamil Nadu,Erode
RD_HI_00013,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Negative,0.67,Tamil Nadu,Coimbatore
RD_HI_00014,Public Works (Roads),Hindi,सड़क पर नाले का पानी बह रहा है,Negative,0.63,Tamil Nadu,Coimbatore
RD_HI_00015,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Neutral,0.45,Tamil Nadu,Erode
RD_HI_00016,Public Works (Roads),Hindi,फुटपाथ टूट चुका है और चलने में खतरा है,Negative,0.73,Tamil Nadu,Trichy
RD_HI_00017,Public Works (Roads),Hindi,सड़क बुरी तरह क्षतिग्रस्त है जिससे यातायात प्रभावित हो रहा है,Neutral,0.58,Tamil Nadu,Trichy
RD_HI_00018,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Neutral,0.57,Tamil Nadu,Erode
RD_HI_00019,Public Works (Roads),Hindi,फुटपाथ टूट चुका है और चलने में खतरा है,Neutral,0.39,Tamil Nadu,Trichy
RD_HI_00020,Public Works (Roads),Hindi,फुटपाथ टूट चुका है और चलने में खतरा है,Negative,0.87,Tamil Nadu,Karur
RD_HI_00021,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Neutral,0.51,Tamil Nadu,Karur
RD_HI_00022,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Negative,0.8,Tamil Nadu,Karur
RD_HI_00023,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Negative,0.89,Tamil Nadu,Erode
RD_HI_00024,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Negative,0.76,Tamil Nadu,Trichy
RD_HI_00025,Public Works (Roads),Hindi,सड़क बुरी तरह क्षतिग्रस्त है जिससे यातायात प्रभावित हो रहा है,Negative,0.69,Tamil Nadu,Karur
RD_HI_00026,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Neutral,0.42,Tamil Nadu,Trichy
RD_HI_00027,Public Works (Roads),Hindi,मुख्य सड़क पर बड़े गड्ढे हैं,Negative,0.98,Tamil Nadu,Karur
RD_HI_00028,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Neutral,0.53,Tamil Nadu,Karur
RD_HI_00029,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Negative,0.63,Tamil Nadu,Karur
RD_HI_00030,Public Works (Roads),Hindi,मुख्य सड़क पर बड़े गड्ढे हैं,Negative,0.9,Tamil Nadu,Karur
RD_HI_00031,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Neutral,0.34,Tamil Nadu,Trichy
RD_HI_00032,Public Works (Roads),Hindi,रात में सड़क पर रोशनी नहीं है,Neutral,0.39,Tamil Nadu,Salem
RD_HI_00033,Public Works (Roads),Hindi,मुख्य सड़क पर बड़े गड्ढे हैं,Neutral,0.52,Tamil Nadu,Coimbatore
RD_HI_00034,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Negative,0.79,Tamil Nadu,Trichy
RD_HI_00035,Public Works (Roads),Hindi,सड़क बुरी तरह क्षतिग्रस्त है जिससे यातायात प्रभावित हो रहा है,Negative,0.98,Tamil Nadu,Coimbatore
RD_HI_00036,Public Works (Roads),Hindi,मुख्य सड़क पर बड़े गड्ढे हैं,Neutral,0.32,Tamil Nadu,Salem
RD_HI_00037,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Negative,0.63,Tamil Nadu,Coimbatore
RD_HI_00038,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Neutral,0.48,Tamil Nadu,Trichy
RD_HI_00039,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Negative,0.63,Tamil Nadu,Coimbatore
RD_HI_00040,Public Works (Roads),Hindi,मुख्य सड़क पर बड़े गड्ढे हैं,Negative,0.74,Tamil Nadu,Coimbatore
RD_HI_00041,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Negative,0.93,Tamil Nadu,Erode
RD_HI_00042,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Neutral,0.43,Tamil Nadu,Salem
RD_HI_00043,Public Works (Roads),Hindi,सड़क बुरी तरह क्षतिग्रस्त है जिससे यातायात प्रभावित हो रहा है,Neutral,0.5,Tamil Nadu,Erode
RD_HI_00044,Public Works (Roads),Hindi,सड़क बुरी तरह क्षतिग्रस्त है जिससे यातायात प्रभावित हो रहा है,Neutral,0.34,Tamil Nadu,Trichy
RD_HI_00045,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Neutral,0.55,Tamil Nadu,Trichy
RD_HI_00046,Public Works (Roads),Hindi,बारिश के बाद सड़क पूरी तरह खराब हो गई है,Negative,0.78,Tamil Nadu,Erode
RD_HI_00047,Public Works (Roads),Hindi,सड़क की सतह उखड़ रही है,Negative,0.92,Tamil Nadu,Coimbatore
RD_HI_00048,Public Works (Roads),Hindi,बारिश के बाद सड़क पूरी तरह खराब हो गई है,Negative,0.83,Tamil Nadu,Karur
RD_HI_00049,Public Works (Roads),Hindi,सड़क पर निर्माण का मलबा फैला है,Neutral,0.36,Tamil Nadu,Salem
RD_HI_00050,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Negative,0.98,Tamil Nadu,Coimbatore
RD_HI_00051,Public Works (Roads),Hindi,बारिश के बाद सड़क पूरी तरह खराब हो गई है,Negative,0.82,Tamil Nadu,Erode
RD_HI_00052,Public Works (Roads),Hindi,खराब सड़क की वजह से दुर्घटना हुई,Neutral,0.57,Tamil Nadu,Coimbatore
RD_HI_00053,Public Works (Roads),Hindi,बारिश के बाद सड़क पूरी तरह खराब हो गई है,Neutral,0.36,Tamil Nadu,Trichy
RD_HI_00054,Public Works (Roads),Hindi,सड़क मरम्मत का काम कई दिनों से अधूरा है,Neutral,0.3,Tamil Nadu,Salem
